,Année,Collège,Genre,Valeur,Nombre de salariés,Proportion de salariés en temps partiel en décembre (%),Proportion de salariés en temps complet en décembre (%)
0,2017,Cadre,Femme,170.0,33625.0,0.5055762081784386,99.49442379182156
1,2017,Cadre,Homme,87.0,81848.0,0.10629459485876258,99.89370540514123
2,2017,Exécution,Femme,537.0,7291.0,7.365244822383761,92.63475517761624
3,2017,Exécution,Homme,57.0,11244.0,0.5069370330843116,99.49306296691569
4,2017,Maîtrise,Femme,1094.0,33775.0,3.2390821613619543,96.76091783863805
5,2017,Maîtrise,Homme,297.0,81170.0,0.36589873105827275,99.63410126894173
6,2018,Cadre,Femme,169.0,33675.0,0.5018559762435041,99.4981440237565
7,2018,Cadre,Homme,82.0,80664.0,0.101656253099276,99.89834374690072
8,2018,Exécution,Femme,525.0,6523.0,8.048443967499615,91.95155603250038
9,2018,Exécution,Homme,56.0,10630.0,0.5268109125117592,99.47318908748824
10,2018,Maîtrise,Femme,1071.0,32341.0,3.311585912618657,96.68841408738135
11,2018,Maîtrise,Homme,293.0,79360.0,0.36920362903225806,99.63079637096774
12,2019,Cadre,Femme,171.0,33943.0,0.5037857584774476,99.49621424152255
13,2019,Cadre,Homme,88.0,79893.0,0.11014732204323281,99.88985267795677
14,2019,Exécution,Femme,472.0,5606.0,8.419550481626828,91.58044951837317
15,2019,Exécution,Homme,55.0,9628.0,0.5712505193186539,99.42874948068135
16,2019,Maîtrise,Femme,1046.0,30870.0,3.3884029802397153,96.61159701976028
17,2019,Maîtrise,Homme,277.0,77548.0,0.35719812245319027,99.64280187754682
18,2020,Cadre,Femme,169.0,34501.0,0.4898408741775601,99.51015912582244
19,2020,Cadre,Homme,79.0,80227.0,0.09847058970172137,99.90152941029828
20,2020,Exécution,Femme,405.0,5026.0,8.058097890966971,91.94190210903302
21,2020,Exécution,Homme,47.0,8909.0,0.5275564036367718,99.47244359636323
22,2020,Maîtrise,Femme,960.0,29716.0,3.2305828509893657,96.76941714901064
23,2020,Maîtrise,Homme,260.0,76875.0,0.3382113821138211,99.66178861788617
24,2021,Cadre,Femme,156.0,34925.0,0.446671438797423,99.55332856120258
25,2021,Cadre,Homme,75.0,80696.0,0.09294140973530286,99.9070585902647
26,2021,Exécution,Femme,345.0,4530.0,7.6158940397351,92.3841059602649
27,2021,Exécution,Homme,42.0,8653.0,0.4853807927886282,99.51461920721137
28,2021,Maîtrise,Femme,867.0,28957.0,2.9940946921297096,97.0059053078703
29,2021,Maîtrise,Homme,254.0,76505.0,0.33200444415397684,99.66799555584602
30,2022,Cadre,Femme,170.0,36014.0,0.4720386516354751,99.52796134836453
31,2022,Cadre,Homme,80.0,82380.0,0.09711094925952901,99.90288905074047
32,2022,Exécution,Femme,294.0,4271.0,6.883633809412315,93.11636619058768
33,2022,Exécution,Homme,42.0,8893.0,0.47228156977397956,99.52771843022602
34,2022,Maîtrise,Femme,822.0,28693.0,2.864810232460879,97.13518976753912
35,2022,Maîtrise,Homme,235.0,77089.0,0.3048424548249426,99.69515754517506
36,2023,Cadre,Femme,164.0,37429.0,0.43816292179860533,99.56183707820139
37,2023,Cadre,Homme,98.0,85089.0,0.11517352419231627,99.88482647580769
38,2023,Exécution,Femme,257.0,4273.0,6.014509712146033,93.98549028785396
39,2023,Exécution,Homme,40.0,9106.0,0.4392708104546453,99.56072918954536
40,2023,Maîtrise,Femme,821.0,28951.0,2.8358260509136124,97.16417394908639
41,2023,Maîtrise,Homme,220.0,78155.0,0.28149190710767064,99.71850809289234
